airport_ident,length_ft,surface,lighted,closed
03OI,60,CONC,0,0
03OK,1200,TURF,0,0
03OL,1900,Turf,0,0
03OR,2950,CONC,0,0
03PA,130,ASPH,0,0
03PN,100,TURF,0,0
03PR,2926,Turf,0,0
03S,2115,TURF-G,0,0
03SC,40,CONC,1,0
03TE,3500,TURF,0,0
03TN,20,TURF,0,0
03TS,90,ASPH,0,0
03TT,3000,Turf,0,0
03TX,150,TURF,0,0
03UT,5000,GRAVEL,0,0
03UT,3250,GRAVEL,0,0
03WA,2800,GRAVEL,0,0
03WN,2000,GRVL,0,0
03XA,54,CON,0,0
03XS,3200,TURF-DIRT,0,0
03XS,1600,TURF,0,0
04AA,1300,Turf,0,0
04AA,825,Turf,0,0
04AL,100,ASPH,0,0
04AR,40,ASPH,1,0
04CA,8000,ASP,0,0
04CL,1900,GRVL-DIRT,0,0
04CT,50,TURF,0,0
04FA,2620,TURF,0,0
04FL,3000,TURF,0,0
04GA,39,CON,0,0
04I,2382,TURF-G,1,0
04IA,2310,TURF-G,0,0
04ID,3000,DIRT-F,0,0
04IL,1700,TURF,0,0
04IN,4000,WATER,0,0
04IS,2200,TURF,0,0
04KY,1700,ASPH,0,0
04LA,40,CONC,1,0
04LS,60,CONC-G,0,0
04MA,2100,TURF,0,0
04MD,50,ASPH,1,0
04ME,1950,TURF,0,0
04MI,2000,TURF-G,0,0
04MN,2500,TURF,0,0
04MS,3400,ASPH-TURF,0,0
04MT,2100,TURF,0,0
04MT,1900,TURF,0,0
04NC,91,ASPH,0,0
04NE,2500,TURF,0,0
04NJ,3500,TURF,1,0
04NR,78,CON,0,0
04NV,3240,ASPH,1,0
04NY,5200,TURF,0,0
04OG,50,CONC,0,0
04OK,45,CONC,0,0
04PA,100,CONC,0,0
04PN,70,CONC,0,0
04SC,50,CONC,0,0
04SD,46,CON,0,0
04TE,30,TURF,0,0
04TN,3000,ASPH,0,0
04TS,20,TURF,0,0
04TT,4645,ASP,0,0
04TX,2000,TURF,0,0
04UT,3700,DIRT,0,0
04V,7745,GRVL-G,0,0
04VA,50,CONC,1,0
04VG,3500,TURF-F,0,0
04VG,1800,TURF-F,0,0
04VT,1300,TURF,0,0
04W,2751,ASPH-G,1,0
04WA,1800,TURF,0,0
04WI,1800,TURF,0,0
04WN,4100,ASPH,0,0
04WV,40,CONC,0,0
05AK,2000,TURF-GRVL,0,0
05AL,1600,ASPH,0,0
05AL,1600,ASPH,0,0
05AL,1600,ASPH,0,0
05AL,1600,ASPH,0,0
05AL,1600,ASPH,0,0
05AL,1600,ASPH,0,0
05AN,1250,GVL,0,0
05AR,2000,TURF,0,0
05AZ,40,CONC,0,0
05B,4000,WATER,0,0
05CA,78,CONC-G,0,0
05CL,3700,ASPH-G,1,0
05CO,2650,TURF,0,0
05CT,50,ASPH,0,0
05FA,2950,TURF,0,0
05FD,95,TURF,0,0
05FL,3200,TURF,0,0
05FL,1600,TURF,0,0
05GA,2200,ASPH,0,0
