airport_ident,length_ft,surface,lighted,closed
8TE5,25,CONC,1,0
8TE7,1700,GVL,0,0
8TE8,2550,ASPH,0,0
8TE9,20,CONC,0,0
8TN0,40,CONC,0,0
8TN1,1400,TURF,0,0
8TN2,3000,TURF,0,0
8TN3,1300,TURF,0,0
8TN4,2200,TURF,0,0
8TN5,1900,TURF,0,0
8TN6,2000,TURF,0,0
8TN7,2560,TURF,0,0
8TN8,1500,TURF,0,0
8TN9,1716,TURF,0,0
8TS0,3000,GRAVEL,0,0
8TS1,2200,TURF,0,0
8TS2,3180,GRVL-TRTD,0,0
8TS3,2500,TURF,0,0
8TS4,30,CONC-G,0,0
8TS6,1835,TURF,0,0
8TS7,3000,TURF,0,0
8TS8,4400,GRAVEL,0,0
8TS9,5000,ASPH,1,0
8TX0,2500,TURF,0,0
8TX1,50,CONC,0,0
8TX2,3000,GRVL,0,0
8TX4,50,TURF,0,0
8TX8,3800,TURF,0,0
8TX9,40,CONC-G,1,0
8U0,3440,TURF-F,0,0
8U1,2400,TURF-F,0,0
8U3,3330,TURF-F,0,0
8U4,3800,TURF-G,0,0
8U9,3200,TREATED-E,0,0
8V6,4200,DIRT-F,0,0
8VA0,100,ASP,1,0
8VA2,2300,TURF-G,0,0
8VA3,100,ASPH,1,0
8VA4,2709,TURF,1,0
8VA5,64,CONC,0,0
8VA6,1400,TURF,0,0
8VA7,30,TURF,0,0
8VA8,55,CONC,0,0
8VG4,1200,GRS,0,0
8VG4,1700,GRS,0,0
8W3,2575,ASPH-G,1,0
8W9,2480,TURF-G,0,0
8W9,2750,TURF-G,0,0
8WA0,2200,TURF,0,0
8WA1,75,GRVL,0,0
8WA2,50,CONC,0,0
8WA3,118,ASPH,0,0
8WA4,50,CON,1,0
8WA5,3400,TURF,0,0
8WA6,2500,ASPH,1,0
8WA7,2000,TURF-GRVL,0,0
8WA8,50,ASPH,0,0
8WA9,30,MATS,0,0
8WI0,1800,TURF,0,0
8WI1,2000,TURF,0,0
8WI2,2400,GRVL-DIRT,0,0
8WI2,2400,ASPH-GRVL,0,0
8WI3,2600,ASPH-GRVL,0,0
8WI4,35,CONC-G,0,0
8WI5,1300,TURF,0,0
8WI6,2250,TURF-F,0,0
8WI8,2200,TURF,0,0
8WI9,50,CONC,0,0
8WN4,40,GRVL,0,0
8WN8,1000,TURF,0,0
8WT0,40,CONC,1,0
8WV3,4620,Turf,0,0
8WV8,1015,Turf,0,0
8WY6,5000,GRS,0,0
8XA6,3500,Turf,0,0
8XS4,50,CONC-TURF,0,0
8XS5,20,CONC,0,0
8XS6,1450,TURF,0,0
8XS7,75,TURF,0,0
8XS8,6500,ASPH-CONC-P,0,0
8XS8,6500,ASPH-CONC-F,0,0
8XS8,10500,ASPH-CONC-G,0,0
8XS9,2331,ASPH,0,0
8Y4,5500,WATER,0,0
8Y4,6500,WATER,0,0
8Y5,2600,TURF-G,0,0
90AK,62,WOOD,0,0
90AL,40,CON,1,0
90CA,1800,TURF,0,0
90CL,2400,TURF,0,0
90FL,4700,TURF,0,0
90GA,30,CONC,0,0
90IA,2400,ASPH-P,0,0
90ID,80,CONC,1,0
90IL,2600,TURF,0,0
90IN,2000,TURF,1,0
90KS,2600,TURF,0,0
90LA,1000,TURF,0,0
90MD,55,CON,0,0
90ME,1600,TURF,0,0
90ME,5000,WATER,0,0
90MO,60,CONC-G,0,0
90MT,25,TURF-G,0,0
90NC,50,MATS,0,0
90NJ,60,MATS,1,0
90NV,20,CON,1,0
90NY,1425,TURF-G,1,0
90OH,100,TURF,0,0
90OI,1625,TURF,0,0
90OR,40,CONC,0,0
90PA,2900,TURF,0,0
90TA,200,CONC,0,0
90TE,3657,TURF,0,0
90TN,42,CON,1,0
90TT,4000,Turf/Dirt,0,0
90TX,4640,TURF,0,0
90VA,1400,TURF-G,0,0
90WA,2700,TURF,0,0
90WI,3000,TURF,0,0
90XA,1616,Turf,0,0
90XS,35,CONC,0,0
91AK,5000,WATER,0,0
91AS,2393,Turf,0,0
91C,2936,ASPH-G,1,0
91CA,20,ASPH,0,0
91CO,100,CONC,0,0
91FD,160,TURF,0,0
91FL,3000,WATER,0,0
91GA,1800,TURF,0,0
91I,86,CONC,0,0
91ID,20,CONC,0,0
91IN,1050,TURF,0,0
91IS,2450,TURF,0,0
91KS,2400,TURF-G,0,0
91KY,20,CONC,0,0
91LA,2480,TURF,0,0
91LS,2000,TURF-G,0,0
91MD,55,CON,0,0
91MD,69,CON,0,0
91ME,1100,Turf,0,0
91MI,60,CON,0,0
91MN,90,CONC,0,0
91MO,30,CONC-G,0,0
91N,3200,TURF-F,1,0
91NC,50,CONC,1,0
91NJ,50,ASPH,0,0
91NY,2100,TURF,0,0
91OH,1650,TURF,0,0
91OK,2300,TURF,0,0
91PA,50,CON,1,0
91PN,80,ASPH,1,0
91TA,2230,TURF-G,0,0
91TE,2100,TURF,0,0
91TN,2000,GVL,0,0
91TS,3200,CONC,0,0
91TX,4750,ASPH,1,0
91VA,1850,TURF,0,0
91WA,2500,DIRT,0,0
91WI,2600,TURF,0,0
91XA,3200,Dirt,0,0
91XA,2000,Turf,0,0
92A,2600,TURF-G,0,0
92AK,40,CONC,0,0
92B,15800,WATER-E,0,0
92B,25000,WATER,0,0
92C,1610,TURF-F,0,0
92C,2555,ASPH-P,1,0
92CA,3600,ASPH,1,0
92CL,2400,ASPH,1,0
92CN,36,CON,0,0
92CO,4000,TURF,0,0
92FD,25,CONC,0,0
92G,1820,TURF-G,0,0
92GA,110,ASPH,0,0
92GE,2600,TURF,0,0
92IN,2000,TURF,0,0
92LA,50,CONC,0,0
92MA,450,TURF,0,0
92MI,2180,TURF,0,0
92MN,3100,TURF,0,0
92MO,100,CONC,0,0
92MU,2000,Turf,0,0
92NC,50,CONC,0,0
92NH,400,TURF-GRVL,0,0
92NJ,2200,TURF,0,0
92NR,40,CON,1,0
92NY,850,TURF,0,0
92NY,3000,TURF,0,0
92OH,40,CON,0,0
92OI,45,CONC,0,0
92OR,220,DIRT,0,0
92PN,2650,Turf,0,0
92TA,1500,TURF,0,0
92TE,2650,DIRT,0,0
92TS,48,CONC,0,0
92VA,3100,TURF-G,0,0
92WA,25,WOOD,0,0
92WI,2000,TURF-F,0,0
92XS,3000,ASPH,0,0
93B,2099,ASPH-G,0,0
93CA,70,CONC-TURF,0,0
93CO,2600,DIRT-F,0,0
93FD,3000,TURF,0,0
93FL,50,CON,0,0
93GA,50,ASPH,0,0
93IA,2600,TURF,0,0
93ID,65,CON,1,0
93IN,1500,TURF,0,0
93IS,40,ASPH,0,0
93KS,2600,Turf,0,0
93KY,1880,TURF,0,0
93LA,40,CONC,0,0
93LL,1600,TURF,0,0
93MD,2200,TURF,0,0
93MN,2200,TURF,0,0
93MS,3150,CONC-TURF,0,0
93MT,1372,TURF,0,0
93NC,50,CONC,0,0
93NH,250,CONC,0,0
93NY,150,Turf,0,0
93OG,50,GRVL,0,0
93OI,170,TURF,0,0
93OK,2200,TURF,0,0
93OR,42,ASPH,0,0
93SC,40,CON,1,0
93TA,80,CONC,1,0
93TE,4050,DIRT,0,0
93TE,2200,DIRT,0,0
93TE,5200,DIRT,0,0
93TN,2000,GRS,0,0
93TX,50,CONC,1,0
93VA,1400,TURF,0,0
93XA,2425,Turf,0,0
94AR,2640,ASP,0,0
94C,1092,TURF-F,0,0
94CA,65,ASPH,0,0
94CL,54,MATS,0,0
94CL,51,CONC,0,0
94CO,20,WOOD,0,0
94D,5000,WATER,0,0
94FD,30,CONC,0,0
94FL,3200,ASPH,1,0
94GA,3800,TURF,0,0
94IS,1700,TURF,0,0
94KS,2600,ASPH-TURF,0,0
94KY,1600,TURF,0,0
94LA,30,CONC,0,0
94MD,2500,Turf,0,0
94MN,3000,TURF,0,0
94NC,2600,TURF,0,0
94NJ,50,ASPH,0,0
94NY,1400,TURF,0,0
94OH,40,ASPH,0,0
94OI,20,CONC,0,0
94OK,60,CONC,0,0
94OR,2350,TURF-G,0,0
94PA,200,ASPH-TURF,0,0
94PN,60,CONC,1,0
94TA,3024,TURF,0,0
94TE,40,CONC-G,0,0
94TN,2983,Turf,0,0
94TS,36,ASPH,0,0
94TT,3201,Turf/Dirt,0,0
94TX,3800,ASPH,0,0
94WA,1700,GRAVEL,0,0
94Z,1950,GRVL-F,0,0
95AL,40,CON,0,0
95CA,2000,TURF,0,0
95CL,79,CONC,0,0
95CO,3500,DIRT-F,0,0
95FA,1850,Turf,0,0
95FD,1850,TURF-F,0,0
95FL,250,ASPH,0,0
95GA,2480,TURF-G,0,0
95IL,2750,TURF,0,0
95IN,2000,TURF,0,0
95IS,1760,TURF,0,0
95KS,2400,Turf,0,0
95KY,1880,TURF,0,0
95LA,20,CONC,0,0
95MI,4000,TURF,0,0
95NH,50,Turf,0,0
95NJ,75,TURF,0,0
95NY,1500,TURF,0,0
95OH,3050,TURF,0,0
95OI,20,CONC,1,0
95OK,2500,TURF,0,0
95OR,2500,TURF,0,0
95PN,60,ASPH,1,0
95SC,2395,Turf,1,0
95TA,2700,TURF-G,0,0
95TE,50,TURF,0,0
95TS,2200,TURF-G,0,0
95TX,4000,ASP,0,0
95VA,1200,TURF,0,0
95WA,2100,ASPH,0,0
95WI,1295,TURF,0,0
95Z,4100,GRVL-TRTD-F,0,0
96AK,2000,WATER,0,0
96AL,1400,Turf,0,0
96C,2500,ASPH-G,0,0
96CA,35,CONC,0,0
96CL,100,ASPH,0,0
96CO,1200,TURF,0,0
96CO,2400,TURF,0,0
96FD,2571,Turf,0,0
96FL,3300,TURF,0,0
96G,2465,TURF-G,0,0
96GA,3000,TURF,0,0
96ID,2550,TURF,0,0
96IL,2400,TURF,0,0
96IS,2640,TURF,0,0
96KS,2500,Turf,0,0
96KY,1400,TURF,0,0
96LA,50,CONC,0,0
96M,5280,WATER,0,0
96MO,100,TURF,0,0
96MT,1064,Turf,0,0
96MT,1443,Turf,0,0
96MT,1357,Turf,0,0
96MU,2200,TURF-F,0,0
96NC,100,ASP,0,0
96NJ,40,TURF,0,0
96NM,30,CON,1,0
96NY,30,CONC,0,0
96OI,60,CONC,0,0
96OK,4000,TURF,0,0
96OR,4800,ASPH,0,0
96PN,60,ASPH-G,0,0
96TA,20,CONC,0,0
96TS,2175,TURF,0,0
96TX,3000,TURF,0,0
96VE,1600,TURF,0,0
96WA,1100,TURF-F,0,0
96WI,1300,TURF,0,0
96WI,10000,WATER,0,0
96WY,1500,TURF-DIRT,0,0
96WY,800,TURF,0,0
96XA,6800,Dirt,0,0
96XS,35,CONC,0,0
96Z,10000,WATER,0,0
97AK,1800,GRVL,0,0
97AL,40,CON,0,0
97CL,1900,GRAVEL,0,0
97CO,2500,DIRT,0,0
97F,2600,ASPH-P,0,0
97FL,3700,TURF,0,0
97G,1528,TURF-G,0,0
97GA,2300,TURF,0,0
97GE,100,Turf,0,0
97IA,2000,TURF,1,0
97IL,50,ROOF-TOP,1,0
97IN,40,CONC,0,0
97IS,50,CONC,0,0
97KY,80,ASPH,0,0
97MN,90,ASPH,1,0
97MO,2650,TURF,0,0
97MT,3400,ASPH,1,0
97NC,50,TURF,1,0
97ND,2640,TURF,1,0
97OG,3000,ASPH,0,0
97OI,37,ASPH,0,0
97OR,2500,GRVL-DIRT,0,0
97TA,300,TURF,0,0
97TE,20,CONC,0,0
97TE,20,TURF,0,0
97TE,20,CONC,0,0
97TN,1600,TURF,0,0
97TS,2500,TURF,1,0
97TX,3600,GRVL,0,0
97VA,1600,TURF,0,0
97WA,2200,ASPH-TURF,0,0
97WA,50,ASPH,0,0
97WI,1740,TURF,1,0
97WY,20,TURF,1,0
97XA,74,CON,0,0
97XS,1100,TURF,0,0
97XS,3150,TURF,0,0
97Y,2500,TURF-G,0,0
98AK,2000,GRVL,0,0
98AL,20,CON,1,0
98CA,65,ASPH,0,0
98CO,40,CONC,0,0
98FA,40,Turf,0,0
98FD,1800,WATER,0,0
98FL,2000,WATER,0,0
98G,2150,TURF-G,0,0
98G,2178,ASPH-P,1,0
98GA,2700,TURF,0,0
98IA,40,CONC-G,0,0
98ID,30,CONC,1,0
98IL,40,CONC,0,0
98KS,2440,TURF,0,0
98L,125,ASPH,1,0
98LA,20,ASPH,0,0
98LL,2250,TURF,0,0
98ME,2200,TURF,0,0
98MI,30,CONC,0,0
98MN,1400,TURF,0,0
98MO,2828,TURF-DIRT,0,0
98MT,2500,TURF,0,0
98NC,40,CONC,0,0
98ND,2000,TURF,0,0
98NH,50,ASPH,0,0
98NJ,36,ASPH,0,0
98NM,5200,TURF,0,0
98NY,1400,TURF,0,0
98NY,1750,TURF,0,0
98OH,2400,TURF,0,0
98OI,100,CONC,0,0
98OK,2008,TURF-G,0,0
98OR,1300,TURF,0,0
98PN,60,ASPH,0,0
98SC,2700,Turf,0,0
98TA,40,CONC,0,0
98TE,1040,TURF,0,0
98TN,3000,ASPH,0,0
98TS,3000,Turf,0,0
98TX,30,TURF,0,0
98WA,60,CONC,0,0
98WI,70,TURF,0,0
98WT,40,CON,0,0
98WY,20,TURF,0,0
98XA,2070,Turf,0,0
98XS,25,ASPH,0,0
99A,3800,TURF-G,0,0
99AA,15,Wood,0,0
99AK,1200,GRVL-DIRT,0,0
99AR,36,Concrete/Turf,0,0
99AZ,5100,DIRT,0,0
99C,15000,WATER,0,0
99CA,50,CONC,1,0
99CL,3700,ASPH,0,0
99CL,3200,ASPH-P,0,0
99CL,3700,ASPH-P,0,0
99CN,86,CONC,0,0
99CO,1500,TURF,0,0
99FD,30,TURF-G,0,0
99GA,220,TURF,0,0
99HI,16,CONC,1,0
99IA,1700,TURF,0,0
99ID,42,ASPH-DIRT,0,0
99IL,1600,TURF,0,0
99KS,2750,TURF,0,0
99LA,2000,TURF-G,0,0
99ME,80,GRS,1,0
99MI,2600,Turf,0,0
99MI,2600,Turf,0,0
99MN,91,CONC,0,0
99MO,40,ASPH,0,0
99MT,1600,TURF,0,0
99NA,50,CONC-G,1,0
99NC,50,CONC,0,0
99NJ,75,TURF,0,0
99OH,40,CONC,0,0
99OI,60,ASPH,0,0
99OK,40,TURF,0,0
99OR,1885,TURF,0,0
99PN,46,CON,0,0
99SC,2640,TURF,0,0
99TA,20,CONC,0,0
99TE,2300,TURF,0,0
99TN,50,CONC,1,0
99TS,20,CONC,0,0
99TX,3450,DIRT,0,0
99UT,2400,DIRT,0,0
99WA,50,CONC,1,0
99WI,2000,Turf,0,0
99WY,2700,TURF-DIRT,0,0
99Y,2800,TURF-F,0,0
99Z,5500,WATER,0,0
9A3,3401,GRVL-E,1,0
9A8,3100,GRVL-F,0,0
9A9,3340,TURF-G,1,0
9AA1,1250,GVL,0,0
9AA9,1100,Dirt,0,0
9AK,780,GRVL-P,0,0
9AK0,1040,GRAVEL,0,0
9AK1,3000,WATER,0,0
9AK1,2200,GRVL,0,0
9AK2,2600,GRVL,0,0
9AK3,4100,GRAVEL,0,0
9AK4,2800,GRAVEL,1,0
9AK5,1800,GRAVEL,0,0
9AK6,1600,TURF,0,0
9AK7,1200,GRVL,0,0
9AK8,2000,GRVL,0,0
9AR9,3000,ASPH,0,0
9B8,2000,TURF-G,0,0
9C0,9000,WATER,0,0
9CA0,2940,GRVL-DIRT,0,0
9CA1,20,ASPH,0,0
9CA2,50,CONC,0,0
9CA3,40,CONC,0,0
9CA4,40,ASPH,0,0
9CA5,185,CONC,0,0
9CA7,3018,ASPH,0,0
9CA8,50,CONC,0,0
9CA8,50,ASPH,0,0
9CA9,75,CONC,0,0
9CL0,2075,ASPH-P,1,0
9CL2,3000,ASPH,0,0
9CL3,1960,GRAVEL,0,0
9CL4,3000,DIRT,0,0
9CL4,3000,DIRT,0,0
9CL6,48,CONC,1,0
9CL6,48,Concrete,1,0
9CL6,40,CONC,1,0
9CL7,2300,TURF,0,0
9CL8,28,ASPH,0,0
9CL9,2500,DIRT,0,0
9CO0,50,CONC,0,0
9CO1,60,CONC,0,0
9CO2,2500,TURF-DIRT,0,0
9CO3,2600,TURF-DIRT-G,0,0
9CO4,100,ASPH,0,0
9CO5,5280,GRAVEL,1,0
9CO6,3000,DIRT-G,0,0
9CO7,2600,GRVL-F,0,0
9CO8,1400,TURF,0,0
9CO9,2000,TURF-DIRT,0,0
9DC9,50,Asphalt/Concrete,1,0
9F1,3028,TURF-F,0,0
9F1,2788,TURF-F,0,0
9F5,48,TURF,0,0
9FA3,54,CON,0,0
9FA5,1750,Turf,0,0
9FA8,75,ASPH,0,0
9FD0,5000,WATER,0,0
9FD0,5000,WATER,0,0
9FD1,40,CONC,0,0
9FD2,2300,TURF,0,0
9FD3,70,CONC,0,0
9FD4,42,Concrete/TurfH1,0,0
9FD5,2500,TURF,0,0
9FD6,30,CONC,0,0
9FD7,3000,ASPH,0,0
9FD8,50,CONC,0,0
9FD9,2560,TURF,0,0
9FL0,3000,TURF,0,0
9FL1,3415,TURF,1,0
9FL2,3150,TURF,0,0
9FL3,4600,WATER,0,0
9FL4,60,CONC,0,0
9FL5,3000,TURF,0,0
9FL6,90,ASPH,1,0
9FL7,2060,GRAVEL,0,0
9FL8,3000,TURF,0,0
9FL9,30,CONC-G,0,0
9G0,2668,ASPH-G,1,0
9G1,3550,ASPH-G,1,0
9G5,2530,ASPH-F,1,0
9G6,2659,ASPH-E,1,0
9G9,2000,TURF-F,0,0
9G9,2000,TURF-F,0,0
9GA0,2300,TURF-DIRT,0,0
9GA1,2600,TURF-G,0,0
9GA3,2600,TURF,0,0
9GA5,1600,TURF,0,0
9GA6,2000,TURF,1,0
9GA7,40,CONC,0,0
9GA8,1500,TURF,0,0
9GA9,2900,TURF-G,0,0
9GE6,15,CONC,0,0
9GE7,2100,TURF-G,0,0
9GE8,30,CONC,0,0
9I0,2235,TURF-G,1,0
9I3,2400,ASPH-G,0,0
9ID0,1358,Turf,0,0
9ID6,2500,,0,0
9II2,1630,TURF,0,0
9II3,3000,TURF,1,0
9II4,2400,TURF,0,0
9II5,48,CONC,0,0
9II7,30,CONC,0,0
9II8,1800,TURF-G,0,0
9IL0,1900,TURF,0,0
9IL1,25,CONC-G,0,0
9IL2,2664,TURF,0,0
9IL4,1385,TURF,0,0
9IL5,140,CONC,0,0
9IL6,2300,TURF,0,0
9IL7,2250,TURF,0,0
9IL8,40,CONC,1,0
9IL9,50,CON,0,0
9IN1,50,CONC,1,0
9IN4,2000,TURF,0,0
9IN5,40,CONC,1,0
9IN6,1200,TURF,0,0
9IN7,2000,TURF,0,0
9IN8,2300,TURF,0,0
9IN8,2100,TURF,0,0
9IN9,2400,TURF,0,0
9IS0,3408,ASPH,1,0
9IS2,3177,ASPH-TURF-F,0,0
9IS3,48,CONC,0,0
9IS5,680,TURF,0,0
9IS7,60,TURF,0,0
9IS8,60,ASPH,0,0
9IS9,2100,TURF,0,0
9K0,2300,TURF-G,1,0
9K5,2455,TURF-F,0,0
9K6,1800,TURF-G,0,0
9KS0,200,TURF-DIRT,0,0
9KS1,2600,TURF,0,0
9KS2,55,CONC,0,0
9KS3,100,TURF,0,0
9KS4,2600,TURF,0,0
9KS6,2600,TURF,1,0
9KY1,40,CON,0,0
9KY2,40,CON,1,0
9KY3,40,ASP,1,0
9KY4,650,GRS,0,0
9KY5,40,CON,1,0
9KY9,3070,ASPH-G,0,0
9LA4,40,WOOD,0,0
9LA4,40,PSP,0,0
9LA4,40,CONC,0,0
9LA5,36,CONC,0,0
9LA6,2500,TURF,0,0
9LA8,200,ASPH-CONC,0,0
9LA9,2400,TURF,0,0
9LL0,1500,TURF,0,0
9LL2,1780,TURF,1,0
9LL5,2200,TURF,0,0
9LL7,300,TURF,0,0
9LL8,100,CONC-TURF,0,0
9LS1,2500,CONC-TURF,0,0
9LS5,2500,TURF-F,0,0
9LS9,2360,TURF,0,0
9MA8,40,ASPH,0,0
9MD9,1650,TURF,0,0
9MI0,80,CONC,0,0
9MI1,22,CONC,0,0
9MI2,2550,TURF,1,0
9MI3,30,ASPH,0,0
9MI5,1320,TURF,0,0
9MI7,20,CONC,0,0
9MI8,30,CONC,0,0
9MI9,150,CONC,0,0
9MN0,3600,WATER,0,0
9MN1,2100,TURF,0,0
9MN2,6000,WATER,0,0
9MN2,12000,WATER,0,0
9MN3,2780,TURF-G,0,0
9MN4,45,ASPH,0,0
9MN5,2000,TURF,0,0
9MN6,2500,TURF,0,0
9MN7,45,ASPH,0,0
9MO0,50,ASPH,0,0
9MO1,74,CONC,0,0
9MO2,30,CONC,0,0
9MO3,1800,TURF,0,0
9MO4,1960,ASPH,0,0
9MO5,2300,TURF,0,0
9MO6,1800,TURF,0,0
9MO8,50,CONC,0,0
9MO9,2800,GRAVEL,0,0
9MS9,2000,Turf,0,0
9MT9,2500,TURF,0,0
9MY7,2388,Turf,0,0
9N1,1340,TURF-G,0,0
9N1,3058,TURF-G,0,0
9N2,9100,WATER-E,0,0
9N3,2500,ASPH-G,1,0
9N7,3410,TURF-G,1,0
9NA2,30,CONC,0,0
9NA4,2600,TURF-P,0,0
9NC0,3000,ASPH-P,1,0
9NC0,3000,ASP,1,0
9NC1,40,CONC,0,0
9NC2,2850,TURF,0,0
9NC3,2650,TURF,0,0
9NC5,40,CONC,0,0
9NC7,2300,TURF,0,0
9NC8,3800,TURF-P,0,0
9NC9,1500,TURF,0,0
9ND1,2640,TURF,0,0
9ND8,2100,TURF,0,0
9NE1,2600,TURF,0,0
9NE2,2340,TURF,0,0
9NE3,2900,ASPH-P,0,0
9NE4,2600,TURF,0,0
9NE8,2000,TURF,0,0
9NJ1,20,CONC,0,0
9NJ2,20,CONC,0,0
9NJ3,44,CONC,0,0
9NJ4,50,CONC,1,0
9NJ6,2400,TURF,0,0
9NJ8,1850,TURF,0,0
9NK2,36,ASP,0,0
9NR0,1416,Turf,0,0
9NR4,1500,Turf,0,0
9NR7,2200,TURF,0,0
9NR8,2780,TURF,0,0
9NR9,104,CONC,1,0
9NY1,40,CONC,0,0
9NY2,60,ASPH,0,0
9NY3,100,CONC,0,0
9NY3,70,CONC,0,0
9NY4,2500,TURF,0,0
9NY6,1700,TURF-GRVL,0,0
9NY7,1800,TURF,0,0
9NY8,100,ASPH,0,0
9NY9,50,ASPH,0,0
9OA2,75,TURF,0,0
9OA3,2000,PSP,0,0
9OA4,2200,TURF,0,0
9OA5,2764,ASPH-G,1,0
9OA6,75,TURF-G,0,0
9OA8,1700,TURF,0,0
9OA9,2000,TURF,0,0
9OG1,50,CON,1,0
9OH1,2500,TURF,0,0
9OH2,2400,TURF,0,0
9OH3,25,CONC,0,0
9OH7,2200,TURF,1,0
9OH8,2300,TURF,0,0
9OI1,100,TURF,0,0
9OI2,50,OON,1,0
9OI3,2900,TURF,0,0
9OI4,25,CONC,0,0
9OI5,3500,CONC,0,0
9OI8,1500,TURF,0,0
9OI9,90,ASPH,0,0
9OK0,100,ASPH,0,0
9OK1,80,CONC,1,0
9OK1,80,CONC,1,0
9OK1,80,CONC,1,0
9OK1,80,CONC,1,0
9OK2,20,CONC,0,0
9OK3,2200,TURF,0,0
9OK5,2500,TURF,0,0
9OK6,30,CONC,0,0
9OK7,1500,DIRT,0,0
9OR0,1800,TURF,0,0
9OR1,3100,TURF,0,0
9OR2,50,CONC,0,0
9OR3,30,CONC,0,0
9OR4,1500,TURF,0,0
9OR5,100,ROOF-TOP,1,0
9OR5,45,Asphalt,0,0
9OR6,50,ASPH-CONC,0,0
9OR7,40,CONC,0,0
9OR8,1820,TURF,0,0
9PA0,2000,TURF,0,0
9PA2,1800,TURF,0,0
9PA5,600,TURF,0,0
9PA6,100,TURF,0,0
9PA7,1825,ASPH,0,0
9PA8,40,ASPH,0,0
9PA9,20,ASPH-CONC,0,0
9PN1,1500,TURF,0,0
9PN2,52,MATS,0,0
9PN5,140,GRAVEL,0,0
9PN6,400,TURF,0,0
9PN7,2400,TURF,0,0
9PN8,2000,TURF,0,0
9PN9,30,CONC,0,0
9PR1,20,CON,0,0
9PS0,60,TURF,0,0
9PS1,88,CONC,0,0
9PS2,2100,TURF,0,0
9PS3,65,ASPH,0,0
9PS4,150,TURF,0,0
9PS5,42,MATS,0,0
9PS6,20,ASPH-G,0,0
9PS7,85,TURF-G,0,0
9PS8,2000,TURF-G,0,0
9PS9,40,CONC,0,0
9R5,2650,ASPH-P,0,0
9R5,1400,TURF-GRVL-P,0,0
9R7,500,CONC,0,0
9S3,2150,TURF-G,0,0
9S7,2405,TURF-F,0,0
9SD7,1500,TURF,0,0
9SD7,3000,TURF,0,0
9SD8,2600,TURF,0,0
9SD9,3500,ASPH,0,0
9TA1,2500,TURF,0,0
9TA3,3000,TURF,0,0
9TA4,60,CONC,0,0
9TA5,85,CONC,0,0
9TA6,45,ASPH,0,0
9TA7,35,CONC,1,0
9TA7,35,CONC,1,0
9TA8,2000,TURF,0,0
9TA9,41,CONC,0,0
9TE0,2600,TURF,0,0
9TE2,5300,Asphalt,0,0
9TE4,10000,WATER,0,0
9TE4,2300,TURF-GRVL-G,0,0
9TE4,1800,TURF-GRVL-G,0,0
9TE4,1900,WATER,0,0
9TE5,2200,TURF,0,0
9TE5,1650,CONC,0,0
9TE6,2984,ASPH-G,0,0
9TE7,2800,TURF,0,0
9TN0,50,CONC,1,0
9TN1,2000,TURF,0,0
9TN2,1900,TURF,0,0
9TN4,2250,TURF,0,0
9TN5,1650,TURF,0,0
9TN6,30,ASPH,0,0
9TN7,1200,TURF,0,0
9TN8,40,MATS,1,0
9TN9,1500,TURF,0,0
9TS0,100,TURF,0,0
9TS1,60,CONC,1,0
9TS1,60,CONC,1,0
9TS2,20,CONC,0,0
9TS4,329,TURF,0,0
9TS6,1800,TURF,0,0
9TS7,35,CONC,0,0
9TS8,70,CONC,0,0
9TS9,60,ASPH,0,0
9TX0,40,CONC,0,0
9TX1,2900,TURF,0,0
9TX3,2560,ASPH-DIRT,0,0
9TX4,2100,TURF,0,0
9TX5,3600,DIRT,0,0
9TX6,5000,TURF,0,0
9TX7,1200,TURF,0,0
9TX9,3500,TURF,0,0
9U1,3100,TURF-G,0,0
9V2,2260,TURF-P,0,0
9V2,2360,TURF-F,1,0
9V3,2800,TURF-P,0,0
9VA0,3700,TURF,0,0
9VA1,2200,TURF,0,0
9VA2,35,ASPH,0,0
9VA4,1550,TURF,0,0
9VA5,600,CONC,1,0
9VA8,35,TURF,0,0
9VA9,30,CONC,0,0
9VG,3000,TURF-G,0,0
9VG,1455,TURF-G,0,0
9VG9,1500,TURF,0,0
9W3,1500,TURF-F,0,0
9W8,2493,TURF-G,0,0
9W9,2598,TURF-G,0,0
9WA0,60,ASPH,0,0
9WA1,40,CONC-G,0,0
9WA2,36,MATS,0,0
9WA4,2100,GRVL-G,0,0
9WA5,40,CONC-G,0,0
9WA6,52,CONC,0,0
9WA7,2000,TURF,0,0
9WA8,150,CONC,0,0
9WA9,100,ASPH,0,0
9WI1,1500,TURF,0,0
9WI2,1500,TURF,0,0
9WI3,1336,TURF,0,0
9WI4,2000,TURF,0,0
9WI5,1700,TURF,0,0
9WI6,1800,TURF,0,0
9WI7,40,CON,0,0
9WI8,2000,TURF,0,0
9WI9,2500,TURF,0,0
9WN1,3403,ASPH-P,1,0
9WN2,3500,ASPH,1,0
9WN3,1900,TURF-P,0,0
9WN3,1700,TURF-F,0,0
9WN5,1875,TURF-G,0,0
9WN9,2600,GRAVEL,0,0
9WS2,2200,TURF,0,0
9WY0,45,CONC,1,0
9XS1,3044,TURF,0,0
9XS2,1150,TURF,0,0
9XS4,1800,TURF-G,0,0
9XS6,2900,ASPH-F,0,0
9XS7,1800,TURF,0,0
9XS8,40,ALUMINUM,1,0
9XS9,1800,TURF,0,0
9Y0,2531,TURF-G,1,0
9Y2,2618,TURF-G,0,0
9Y5,6500,WATER,0,0
9Y5,6500,WATER,0,0
9Y5,4500,WATER,0,0
