Locid,Airport Name,CY 23 Enplanements
NBG,New Orleans NAS Jrb (Alvin Callender Field),137
IYA,Abbeville Chris Crusta Memorial,18
HDC,Hammond Northshore Regional,17
PTN,Harry P Williams Memorial,15
0R7,The Red River,6
F89,Winnsboro Municipal,3
IER,Natchitoches Regional,2
RSN,Ruston Regional,2
3LA4,Little Pecan Island,1
BOS,General Edward Lawrence Logan International,"19,962,678"
ACK,Nantucket Memorial,"137,664"
ORH,Worcester Regional,"104,747"
MVY,Martha's Vineyard,"83,621"
HYA,Cape Cod Gateway,"17,472"
BED,Laurence G Hanscom Field,"16,700"
PVC,Provincetown Municipal,"7,746"
EWB,New Bedford Regional,"1,749"
BAF,Westfield-Barnes Regional,"1,261"
OWD,Norwood Memorial,851
CEF,Westover ARB/Metro,620
CQX,Chatham Municipal,283
BVY,Beverly Regional,248
PYM,Plymouth Municipal,188
PSF,Pittsfield Municipal,93
GHG,Marshfield Municipal - George Harlow Field,73
LWM,Lawrence Municipal,46
GBR,Walter J Koladza,41
AQW,Harriman-And-West,26
0B5,Turners Falls,18
7B2,Northampton,13
1B2,Katama Airpark,12
1B9,Mansfield Municipal,12
FIT,Fitchburg Municipal,12
TAN,Taunton Municipal - King Field,3
BWI,Baltimore/Washington International Thurgood Marshall,"12,849,721"
SBY,Salisbury-Ocean City Wicomico Regional,"52,236"
HGR,Hagerstown Regional/Richard A Henson Field,"32,331"
ADW,Joint Base Andrews,"2,807"
GAI,Montgomery County Airpark,385
NHK,Patuxent River NAS (Trapnell Field),177
MTN,Martin State,167
ESN,Easton/Newnam Field,89
FME,Tipton,55
CGE,Cambridge-Dorchester Regional,50
OXB,Ocean City Municipal,44
DMW,Carroll County Regional/Jack B Poage Field,32
ANP,Lee,23
FDK,Frederick Municipal,18
CGS,College Park,7
MD1,Massey Aerodrome,4
2W5,Maryland,3
CBE,Greater Cumberland Regional,2
W29,Bay Bridge,2
PWM,Portland International Jetport,"1,114,714"
BGR,Bangor International,"357,301"
PQI,Presque Isle International,"19,269"
BHB,Hancock County/Bar Harbor,"10,478"
RKD,Knox County Regional,"7,047"
AUG,Augusta State,"5,354"
57B,Islesboro,106
BXM,Brunswick Exec,56
LEW,Auburn/Lewiston Municipal,50
BST,Belfast Municipal,48
IWI,Wiscasset,46
WVL,Waterville Regional,38
SFM,Sanford Seacoast Regional,34
PNN,Princeton Municipal,22
8B0,Stephen A Bean Municipal,21
IZG,Eastern Slopes Regional,14
B19,Biddeford Municipal,13
CAR,Caribou Municipal,12
FVE,Northern Aroostook Regional,5
MLT,Millinocket Municipal,4
0B1,Bethel Regional,2
EPM,Eastport Municipal,2
DTW,Detroit Metro Wayne County,"15,378,601"
GRR,Gerald R Ford International,"1,899,740"
TVC,Cherry Capital,"347,763"
FNT,Bishop International,"281,903"
LAN,Capital Region International,"115,895"
MBS,MBS International,"93,545"
AZO,Kalamazoo/Battle Creek International,"87,626"
SAW,Marquette/Sawyer Regional,"42,660"
CMX,Houghton County Memorial,"23,355"
PLN,Pellston Regional/Emmet County,"22,264"
CIU,Chippewa County International,"22,166"
IMT,Ford,"17,966"
ESC,Delta County,"15,659"
6Y8,Welke,"13,950"
CVX,Charlevoix Municipal,"13,277"
APN,Alpena County Regional,"8,034"
IWD,Gogebic/Iron County,"7,042"
MBL,Manistee County/Blacker,"6,039"
MKG,Muskegon County,"4,521"
YIP,Willow Run,"3,669"
PTK,Oakland County International,506
DET,Coleman A Young Municipal,133
MTC,Selfridge Angb,43
MGN,Harbor Springs,36
ARB,Ann Arbor Municipal,30
BEH,Southwest Michigan Regional,25
FKS,Frankfort Dow Memorial Field,24
GLR,Gaylord Regional,22
5D5,Woolsey Memorial,21
BIV,West Michigan Regional,21
83D,Mackinac County,18
N98,Boyne City Municipal,14
BFA,Boyne Mountain,13
VLL,Oakland/Troy,12
MOP,Mount Pleasant Municipal,11
PHN,St Clair County International,11
LDM,Mason County,6
MCD,Mackinac Island,6
Z98,Ottawa Exec,6
GOV,Grayling AAF,3
HYX,Saginaw County/H W Browne,3
IRS,Kirsch Municipal,3
ACB,Antrim County,2
ANJ,Sault Ste Marie Municipal/Sanderson Field,2
JYM,Hillsdale Municipal,2
C91,Dowagiac Municipal,1
OZW,Livingston County Spencer J Hardy,1
MSP,Minneapolis-St Paul International/Wold-Chamberlain,"17,019,128"
DLH,Duluth International,"128,109"
RST,Rochester International,"93,490"
BJI,Bemidji Regional,"25,179"
STC,St. Cloud Regional,"19,556"
BRD,Brainerd Lakes Regional,"16,218"
INL,Falls International/Einarson Field,"13,277"
HIB,Range Regional,"11,775"
TVF,Thief River Falls Regional,"8,418"
CHU,Houston County,109
STP,St Paul Downtown Holman Field,71
FCM,Flying Cloud,51
ONA,Winona Municipal/Max Conrad Field,36
ANE,Anoka County/Blaine (Janes Field),22
MKT,Mankato Regional,22
PEX,Paynesville Municipal,22
RGK,Red Wing Regional,6
XVG,Longville Municipal,5
GPZ,Grand Rapids/Itasca County-Gordon Newstrom Field,2
MIC,Crystal,2
ELO,Ely Municipal,1
STL,St Louis Lambert International,"7,307,561"
MCI,Kansas City International,"5,654,068"
SGF,Springfield-Branson Ntl,"632,705"
COU,Columbia Regional,"97,779"
JLN,Joplin Regional,"14,420"
TBN,Waynesville-St Robert Regional Forney Field,"11,853"
CGI,Cape Girardeau Regional,"7,563"
MKC,Charles B Wheeler Downtown,"4,798"
IRK,Kirksville Regional,"4,281"
BBG,Branson,"2,607"
SUS,Spirit of St. Louis,"1,332"
SZL,Whiteman AFB,231
JEF,Jefferson City Memorial,50
HAE,Hannibal Regional,38
AIZ,Lee C Fine Memorial,29
PLK,M Graham Clark Downtown,12
VIH,Rolla Ntl,9
SIK,Sikeston Memorial Municipal,8
LXT,Lee's Summit Municipal,3
DMO,Sedalia Regional,2
K15,Grand Glaize-Osage Beach,2
OZS,Camdenton Memorial-Lake Regional,2
RAW,Warsaw Municipal,1
GSN,Francisco C Ada/Saipan International,"218,374"
TNI,Francisco Manglona Borja/Tinian International,"26,143"
GRO,Benjamin Taisacan Manglona International,"11,136"
JAN,Jackson-Medgar Wiley Evers International,"628,321"
GPT,Gulfport-Biloxi International,"376,980"
GTR,Golden Triangle Regional,"42,509"
MEI,Key Field,"15,513"
TUP,Tupelo Regional,"13,526"
PIB,Hattiesburg/Laurel Regional,"13,002"
GLH,Greenville Mid-Delta,"7,521"
UOX,University-Oxford,133
MBO,Bruce Campbell Field,112
LUL,Hesler/Noble Field,101
HSA,Stennis International,18
JVW,John Bell Williams,15
HEZ,Hardy-Anders Field/Natchez-Adams County,12
GWO,Greenwood-Leflore,11
CKM,Fletcher Field,9
HKS,Hawkins Field,9
HBG,Hattiesburg Bobby L Chain Municipal,5
1R7,Brookhaven-Lincoln County,4
PMU,Panola County,4
BZN,Bozeman Yellowstone International,"1,230,110"
MSO,Missoula Montana,"458,429"
GPI,Glacier Park International,"456,285"
BIL,Billings Logan International,"428,868"
GTF,Great Falls International,"177,290"
HLN,Helena Regional,"88,319"
BTM,Bert Mooney,"16,033"
WYS,Yellowstone,"8,750"
SDY,Sidney-Richland Regional,"8,020"
OLF,L M Clayton,"3,153"
HVR,Havre City-County,"2,964"
GGW,Wokal Field/Glasgow-Valley County,"2,892"
GDV,Dawson Community,"2,177"
HRF,Ravalli County,28
EKS,Ennis Big Sky,20
HWQ,Wheatland County at Harlowton,6
RED,Red Lodge,5
LVM,Mission Field,3
3U3,Bowman Field,2
7S0,Ronan,2
RVF,Ruby Valley Field,2
38S,Deer Lodge-City-County,1
DLN,Dillon,1
LWT,Lewistown Municipal,1
CLT,Charlotte/Douglas International,"25,896,224"
RDU,Raleigh-Durham International,"7,119,040"
AVL,Asheville Regional,"1,125,935"
GSO,Piedmont Triad International,"903,776"
ILM,Wilmington International,"655,912"
FAY,Fayetteville Regional/Grannis Field,"167,572"
OAJ,Albert J Ellis,"133,839"
JQF,Concord-Padgett Regional,"119,072"
EWN,Coastal Carolina Regional,"59,159"
PGV,Pitt-Greenville,"34,824"
NKT,Cherry Point MCAS (Cunningham Field),"12,421"
POB,Pope AAF,"8,733"
HKY,Hickory Regional,935
INT,Smith Reynolds,869
GSB,Seymour Johnson AFB,719
SOP,Moore County,112
1A5,Macon County,41
EQY,Charlotte/Monroe Exec,39
MQI,Dare County Regional,39
MRH,Michael J Smith Field,37
MRN,Foothills Regional,22
SUT,Cape Fear Regional Jetport/Howie Franklin Field,21
7NC2,Pine Island,17
W95,Ocracoke Island,17
MWK,Mount Airy/Surry County,16
BUY,Burlington/Alamance Regional,15
TTA,Raleigh Exec Jetport at Sanford-Lee County,15
OCW,Washington-Warren,13
RWI,Rocky Mount/Wilson Regional,11
GEV,Ashe County,9
NC06,Elk River,8
EDE,Northeastern Regional,6
HBI,Asheboro Regional,6
EXX,Davidson County Exec,5
FFA,First Flight,5
IXA,Halifax/Northampton Regional,4
LHZ,Triangle North Exec,4
24A,Jackson County,3
60J,Odell Williamson Municipal,3
EHO,Shelby-Cleveland County Regional,3
JNX,Johnston Regional,3
43A,Montgomery County,2
ISO,Kinston Regional Jetport at Stallings Field,2
LBT,Lumberton Regional,2
RCZ,Richmond County,2
RHP,Western Carolina Regional,2
SCR,Siler City Municipal,2
SVH,Statesville Regional,2
ZEF,Elkin Municipal,2
FQD,Rutherford County/Marchman Field,1
HSE,Billy Mitchell,1
W03,Wilson Industrial Air Center,1
FAR,Hector International,"522,976"
BIS,Bismarck Municipal,"258,780"
MOT,Minot International,"146,874"
GFK,Grand Forks International,"93,877"
XWA,Williston Basin International,"82,258"
DIK,Dickinson/Theodore Roosevelt Regional,"24,123"
JMS,Jamestown Regional,"10,590"
DVL,Devils Lake Regional,"8,051"
MIB,Minot AFB,417
S25,Watford City Municipal,7
OMA,Eppley Airfield,"2,464,418"
LNK,Lincoln,"131,882"
GRI,Central Nebraska Regional,"65,092"
EAR,Kearney Regional,"14,684"
LBF,North Platte Regional/Lee Bird Field,"14,371"
BFF,Scottsbluff/Western Nebraska Regional/Wm B Heilig Field,"12,052"
AIA,Alliance Municipal,"4,328"
CDR,Chadron Municipal,"2,424"
MCK,McCook Ben Nelson Regional,"2,329"
OFF,Offutt AFB,606
JYR,York Municipal,12
VTN,Miller Field,12
ANW,Ainsworth Regional,10
4V9,Antelope County,7
MLE,Millard,7
FET,Fremont Municipal,3
PMV,Plattsmouth Municipal/Douglas V Duey Field,3
LXN,Jim Kelly Field,2
OFK,Norfolk Regional/Karl Stefan Memorial Field,2
SNY,Sidney Municipal/Lloyd W Carr Field,2
MHT,Manchester Boston Regional,"645,158"
PSM,Portsmouth International at Pease,"57,448"
LEB,Lebanon Municipal,"10,863"
LCI,Laconia Municipal,343
CON,Concord Municipal,53
EEN,Dillant/Hopkins,42
ASH,Boire Field,14
HIE,Mount Washington Regional,12
4MB,Moultonborough,3
EWR,Newark Liberty International,"24,575,320"
ACY,Atlantic City International,"437,812"
TTN,Trenton Mercer,"326,300"
TEB,Teterboro,"14,631"
MMU,Morristown Municipal,"1,360"
WRI,McGuire Field (Joint Base McGuire Dix Lakehurst),"1,212"
BLM,Monmouth Exec,501
CDW,Essex County,122
39N,Princeton,121
SMQ,Somerset,38
19N,Pine Valley,26
31E,Eagles Nest,26
WWD,Cape May County,25
MIV,Millville Municipal,24
MJX,Ocean County,22
N51,Solberg/Hunterdon,21
26N,Ocean City Municipal,13
VAY,South Jersey Regional,11
FWN,Sussex,10
1N7,Blairstown,9
17N,Cross Keys,8
LDJ,Linden,7
3N6,Old Bridge,2
47N,Central Jersey Regional,2
OBI,Woodbine Municipal,2
7N7,Oldmans Township,1
N12,Lakewood,1
N81,Hammonton Municipal,1
ABQ,Albuquerque International Sunport,"2,605,163"
SAF,Santa Fe Regional,"140,257"
ROW,Roswell Air Center,"44,943"
HOB,Lea County Regional,"22,187"
CVN,Clovis Regional,"13,623"
SKX,Taos Regional,"7,033"
SVC,Grant County,"6,973"
CNM,Cavern City Air Terminal,"5,028"
GUP,Gallup Municipal,"2,184"
LRU,Las Cruces International,"1,593"
HMN,Holloman AFB,424
CVS,Cannon AFB,243
FMN,Four Corners Regional,17
DMN,Deming Municipal,5
ATS,Artesia Municipal,3
AEG,Double Eagle II,2
AXX,Angel Fire,2
SRR,Sierra Blanca Regional,2
E98,Mid Valley Airpark,1
RTN,Raton Municipal/Crews Field,1
LAS,Harry Reid International,"27,896,199"
RNO,Reno/Tahoe International,"2,251,825"
BVU,Boulder City Municipal,"49,841"
EKO,Elko Regional,"10,723"
VGT,North Las Vegas,"1,785"
LSV,Nellis AFB,"1,564"
HND,Henderson Exec,614
NFL,Fallon NAS (Van Voorhis Field),347
88NV,Black Rock City,158
MEV,Minden-Tahoe,77
INS,Creech AFB,76
67L,Mesquite,62
RTS,Reno/Stead,33
74P,Calvada Meadows,23
CXP,Carson City,23
A34,Dayton Valley Airpark,12
0L7,Jean,11
05U,Eureka,8
BAM,Battle Mountain,8
L92,Alamo Landing Field,8
WMC,Winnemucca Municipal,6
ELY,Ely/Yelland Field,3
JFK,John F Kennedy International,"30,804,355"
LGA,Laguardia,"16,173,073"
BUF,Buffalo Niagara International,"2,291,995"
SYR,Syracuse Hancock International,"1,412,853"
ALB,Albany International,"1,376,492"
ROC,Frederick Douglass/Greater Rochester International,"1,325,357"
HPN,Westchester County,"1,156,719"
ISP,Long Island MacArthur,"641,423"
SWF,New York Stewart International,"129,610"
ELM,Elmira/Corning Regional,"85,034"
PBG,Plattsburgh International,"72,150"
ITH,Ithaca Tompkins International,"60,848"
IAG,Niagara Falls International,"52,631"
BGM,Greater Binghamton/Edwin A Link Field,"36,647"
ART,Watertown International,"21,524"
FRG,Republic,"10,046"
GTB,Wheeler-Sack AAF,"9,310"
OGS,Ogdensburg International,"5,801"
MSS,Massena International-Richards Field,"4,958"
SLK,Adirondack Regional,"4,944"
FOK,Francis S Gabreski,942
JPX,East Hampton Town,464
MTP,Montauk,276
0B8,Elizabeth Field,239
5B2,Saratoga County,101
LKP,Lake Placid,72
GFL,Floyd Bennett Memorial,71
JHW,Chautauqua County/Jamestown,69
MSV,Sullivan County International,55
SCH,Schenectady County,54
POU,Hudson Valley Regional,48
RME,Griffiss International,46
VGC,Hamilton Municipal,38
1B1,Columbia County,37
PEO,Penn Yan/Yates County,36
44N,Sky Acres,33
PTD,Potsdam Municipal/Damon Field,30
6B9,Skaneateles Aero Drome,22
20N,Kingston-Ulster,19
IUA,Canandaigua,19
N66,Albert S Nader Regional,11
OIC,Lt Warren Eaton,4
NY0,Fulton County,3
OLE,Cattaraugus County-Olean,3
CZG,Tri-Cities,2
FZY,Oswego County,2
MAL,Malone-Dufort,2
CLE,Cleveland-Hopkins International,"4,803,822"
CMH,John Glenn Columbus International,"4,095,189"
DAY,James M Cox Dayton International,"594,188"
CAK,Akron-Canton Regional,"344,002"
LCK,Rickenbacker International,"149,363"
TOL,Eugene F Kranz Toledo Express,"70,346"
LUK,Cincinnati Municipal/Lunken Field,"2,317"
BKL,Burke Lakefront,"1,565"
YNG,Youngstown/Warren Regional,730
FFO,Wright-Patterson AFB,686
CGF,Cuyahoga County,74
MGY,Dayton/Wright Brothers,62
OSU,Ohio State University,49
UNI,Ohio University,29
MFD,Mansfield Lahm Regional,22
LPR,Lorain County Regional,19
AKR,Akron Fulton International,17
FDY,Findlay,16
ILN,Wilmington Air Park,15
HAO,Butler County Regional/Hogan Field,13
PCW,Erie-Ottawa International,10
DLZ,Delaware Municipal/Jim Moore Field,8
1G0,Wood County,7
LNN,Lake County Exec,7
HZY,Northeast Ohio Regional,6
BJJ,Wayne County,5
ZZV,Zanesville Municipal,5
4I3,Knox County,4
I68,Warren County/John Lane Field,3
MNN,Marion Municipal,3
SGH,Springfield/Beckley Municipal,3
VNW,Van Wert County,1
OKC,Okc Will Rogers International,"2,135,106"
TUL,Tulsa International,"1,571,600"
LAW,Lawton-Fort Sill Regional,"45,716"
SWO,Stillwater Regional,"35,358"
TIK,Tinker AFB,217
PWA,Wiley Post,48
OUN,University of Oklahoma Westheimer,37
WDG,Enid Woodring Regional,29
RVS,Tulsa Riverside,28
HSD,Sundance,10
MIO,Miami Regional,8
BVO,Bartlesville Municipal,5
GOK,Guthrie/Edmond Regional,5
ADM,Ardmore Municipal,4
MLC,McAlester Regional,4
DUA,Durant Regional/Eaker Field,3
GCM,Claremore Regional,2
SNL,Shawnee Regional,2
BFK,Buffalo Municipal,1
RKR,Robert S Kerr,1
PDX,Portland International,"8,123,054"
EUG,Mahlon Sweet Field,"841,919"
RDM,Roberts Field,"558,804"
MFR,Rogue Valley International/Medford,"478,121"
OTH,Southwest Oregon Regional,"19,590"
SLE,McNary Field,"6,993"
PDT,Eastern Oregon Regional at Pendleton,"5,544"
CVO,Corvallis Municipal,78
HIO,Portland-Hillsboro,46
LMT,Crater Lake/Klamath Regional,31
MMV,McMinnville Municipal,27
S05,Bandon State,27
BDN,Bend Municipal,25
OG14,Silvies Valley Ranch,15
S21,Sunriver,12
TMK,Tillamook,7
UAO,Aurora State,7
AST,Astoria Regional,6
3S9,Condon State Pauling Field,5
4S1,Gold Beach Municipal,3
7S3,Stark's Twin Oaks Airpark,2
DLS,Columbia Gorge Regional/The Dalles Municipal,2
BKE,Baker City Municipal,1
PHL,Philadelphia International,"13,658,669"
PIT,Pittsburgh International,"4,493,052"
MDT,Harrisburg International,"654,791"
ABE,Lehigh Valley International,"419,604"
AVP,Wilkes-Barre/Scranton International,"174,061"
UNV,State College Regional,"138,860"
LBE,Arnold Palmer Regional,"76,925"
ERI,Erie International/Tom Ridge Field,"47,206"
JST,John Murtha Johnstown/Cambria County,"14,253"
LNS,Lancaster,"6,264"
DUJ,Dubois Regional,"5,568"
BFD,Bradford Regional,"3,897"
AOO,Altoona/Blair County,"3,231"
LOM,Wings Field,576
AGC,Allegheny County,344
PNE,Northeast Philadelphia,219
IPT,Williamsport Regional,181
RDG,Reading Regional/Carl A Spaatz Field,103
OQN,Brandywine Regional,98
MQS,Chester County G O Carlson,79
CXY,Capital City,44
AFJ,Washington County,38
MPO,Pocono Mountains Regional,34
BTP,Pittsburgh/Butler Regional,33
HMZ,Bedford County,22
DYL,Doylestown,19
N94,Carlisle,15
N27,Bradford County,13
9G1,Pittsburgh Northeast,9
AXQ,Clarion County,5
THV,York,5
XLL,Allentown Queen City Municipal,5
N13,Bloomsburg Municipal,4
9D4,Deck,3
CKZ,Pennridge,3
GKJ,Port Meadville,3
SEG,Penn Valley,3
WBW,Wilkes-Barre Wyoming Valley,3
8N8,Danville,2
VVS,Joseph A Hardy Connellsville,2
29D,Grove City,1
PJC,Zelienople Municipal,1
W05,Gettysburg Regional,1
SJU,Luis Munoz Marin International,"5,985,001"
BQN,Rafael Hernandez,"432,822"
PSE,Mercedita,"142,076"
VQS,Antonio Rivera Rodriguez,"28,961"
RVR,Jose Aponte De La Torre,"19,786"
CPX,Benjamin Rivera Noriega,"18,922"
SIG,Fernando Luis Ribas Dominicci,"13,447"
MAZ,Eugenio Maria De Hostos,"8,224"
PVD,Rhode Island Tf Green International,"1,732,909"
BID,Block Island State,"15,194"
WST,Westerly State,"12,328"
UUU,Newport State,754
OQU,Quonset State,157
SFZ,North Central State,11
CHS,Charleston AFB/International,"3,032,768"
MYR,Myrtle Beach International,"1,658,984"
GSP,Greenville Spartanburg International,"1,258,724"
CAE,Columbia Metro,"593,590"
HXD,Hilton Head,"103,964"
FLO,Florence Regional,"22,734"
SSC,Shaw AFB,"1,850"
NBC,Beaufort MCAS (Merritt Field),863
ARW,Beaufort Exec,646
JZI,Charleston Exec,432
GMU,Greenville Downtown,127
AIK,Aiken Regional,113
LRO,Mt Pleasant Regional-Faison Field,86
GGE,Georgetown County,83
CEU,Oconee County Regional,80
UZA,Rock Hill/York County/Bryant Field,71
RBW,Lowcountry Regional,67
3J1,Ridgeland-Claude Dean,45
CRE,Grand Strand,36
SMS,Sumter,29
SPA,Spartanburg Downtown Memorial/Simpson Field,18
CUB,Jim Hamilton L B Owens,15
LQK,Pickens County,14
OGB,Orangeburg Municipal,12
GRD,Greenwood County,5
LUX,Laurens County,5
HYW,Conway-Horry County,4
MKS,Berkeley County,3
CDN,Woodward Field,2
CKI,Williamsburg Regional,2
DYB,Summerville,2
FDW,Fairfield County,2
LKR,Lancaster County-Mc Whirter Field,2
FSD,Joe Foss Field,"655,505"
RAP,Rapid City Regional,"345,532"
ABR,Aberdeen Regional,"22,112"
PIR,Pierre Regional,"15,885"
ATY,Watertown Regional,"15,532"
RCA,Ellsworth AFB,"1,210"
MHE,Mitchell Municipal,38
0D8,Gettysburg Municipal,10
9V9,Chamberlain Municipal,6
BKX,Brookings Regional,2
ICR,Winner Regional,2
SPF,Black Hills-Clyde Ice Field,1
BNA,Nashville International,"11,227,243"
MEM,Memphis International,"2,399,876"
TYS,McGhee Tyson,"1,382,197"
CHA,Lovell Field,"488,024"
TRI,Tri-Cities,"220,977"
MKL,McKellar-Sipes Regional,"3,264"
MQY,Smyrna,"1,364"
JWN,John C Tune,533
GKT,Gatlinburg-Pigeon Forge,42
0A9,Elizabethton Municipal,41
1M5,Douglas Hunter Field,36
SRB,Upper Cumberland Regional,36
M91,Springfield Robertson County,31
BGF,Winchester Municipal,30
DKX,Knoxville Downtown Island,12
XNX,Music City Exec,9
CKV,Outlaw Field,8
UCY,Everett-Stewart Regional,8
6A4,Johnson County,6
DYR,Dyersburg Regional,6
THA,Tullahoma Regional/Wm Northern Field,6
CSV,Crossville Memorial-Whitson Field,5
M08,William L Whitehurst Field,5
0M4,Benton County,4
FYE,Fayette County,4
GCY,Greeneville Municipal,4
MRC,Maury County Regional,4
LUG,Ellington,2
M02,Dickson Municipal,1
M54,Lebanon Municipal,1
DFW,Dallas-Fort Worth International,"39,246,212"
IAH,George Bush Intcntl/Houston,"22,228,844"
AUS,Austin-Bergstrom International,"10,833,443"
DAL,Dallas Love Field,"8,559,052"
HOU,William P Hobby,"6,800,320"
SAT,San Antonio International,"5,336,684"
ELP,El Paso International,"2,018,137"
MAF,Midland International Air And Space Port,"684,419"
LBB,Lubbock Preston Smith International,"543,363"
HRL,Valley International,"536,510"
MFE,McAllen International,"513,770"
AMA,Rick Husband Amarillo International,"397,983"
CRP,Corpus Christi International,"352,224"
BRO,Brownsville/South Padre Island International,"176,056"
LRD,Laredo International,"151,114"
GRK,Robert Gray AAF,"113,701"
ABI,Abilene Regional,"79,831"
CLL,Easterwood Field,"60,072"
ACT,Waco Regional,"51,867"
SJT,San Angelo Regional/Mathis Field,"51,865"
TYR,Tyler Pounds Regional,"50,155"
GGG,East Texas Regional,"32,613"
BPT,Jack Brooks Regional,"32,150"
SPS,Sheppard AFB/Wichita Falls Municipal,"25,075"
VCT,Victoria Regional,"11,293"
BIF,Biggs AAF (Fort Bliss),"22,832"
DRT,Del Rio International,"5,320"
AFW,Perot Field/Fort Worth Alliance,"3,020"
FTW,Fort Worth Meacham International,"1,812"
SKF,Kelly Field,757
DYS,Dyess AFB,411
AQO,Llano Municipal,315
SGR,Sugar Land Regional,184
EFD,Ellington,157
ADS,Addison,127
BKS,Brooks County,68
IWS,West Houston,68
BAZ,New Braunfels Ntl,64
GKY,Arlington Municipal,58
CXO,Conroe/North Houston Regional,55
TKI,McKinney Ntl,44
ALI,Alice International,34
ERV,Kerrville Municipal/Louis Schreiner Field,31
MDD,Midland Airpark,29
UVA,Garner Field,28
DWH,David Wayne Hooks Memorial,24
EDC,Austin Exec,23
DTO,Denton Enterprise,22
FWS,Fort Worth Spinks,21
T20,Roger M Dreyer Memorial,19
TME,Houston Exec,19
5F1,Post-Garza County Municipal,17
F44,Athens Municipal,17
GTU,Georgetown Exec,17
MRF,Marfa Municipal,15
MWL,Mineral Wells Regional,14
97TX,San Pedro Ranch,13
HPY,Baytown,11
F17,Center Municipal,10
DHT,Dalhart Municipal,8
TPL,Draughon-Miller Central Texas Regional,8
GLS,Scholes International at Galveston,6
HQZ,Mesquite Metro,5
T05,Charles R Johnson,5
T82,Gillespie County,5
BKD,Stephens County,4
BWD,Brownwood Regional,4
F49,City of Slaton/Larry T Neal Memorial,4
GYI,North Texas Regional/Perrin Field,4
ODO,Odessa-Schlemeyer Field,4
CZT,Dimmit County,3
LVJ,Pearland Regional,3
RBD,Dallas Exec,3
81R,San Saba County Municipal,2
BBD,Curtis Field,2
E38,Alpine-Casparis Municipal,2
GDJ,Granbury Regional,2
HBV,Jim Hogg County,2
ILE,Skylark Field,2
JWY,Mid-Way Regional,2
RPH,Graham Municipal,2
TDW,Tradewind,2
3R9,Lakeway Airpark,1
49R,Real County,1
BGD,Hutchinson County,1
GVT,Majors,1
T89,Lajitas International,1
TRL,Terrell Municipal,1
SLC,Salt Lake City International,"12,905,368"
PVU,Provo Municipal,"415,197"
SGU,St George Regional,"136,411"
CNY,Canyonlands Regional,"19,310"
VEL,Vernal Regional,"13,952"
CDC,Cedar City Regional,"11,768"
LGU,Logan-Cache,"1,778"
HIF,Hill AFB,"1,129"
HCR,Heber Valley,553
KNB,Kanab Municipal,539
UT25,Monument Valley,444
OGD,Ogden-Hinckley,215
SPK,Spanish Fork Municipal/Woodhouse Field,60
U42,South Valley Regional,15
BCE,Bryce Canyon,10
1L8,General Dick Stout Field,6
MLF,Milford Municipal/Ben and Judy Briscoe Field,6
BMC,Brigham City Regional,5
U55,Panguitch Municipal,3
ENV,Wendover,2
DCA,Ronald Reagan Washington Ntl,"12,365,030"
IAD,Washington Dulles International,"12,073,571"
RIC,Richmond International,"2,399,239"
ORF,Norfolk International,"2,307,899"
ROA,Roanoke/Blacksburg Regional (Woodrum Field),"345,561"
CHO,Charlottesville-Albemarle,"308,485"
LYH,Lynchburg Regional/Preston Glenn Field,"74,730"
PHF,Newport News/Williamsburg International,"69,541"
NGU,Norfolk NS (Chambers Field),"17,434"
SHD,Shenandoah Valley Regional,"7,990"
LFI,Langley AFB,824
HEF,Manassas Regional/Harry P Davis Field,181
JYO,Leesburg Exec,111
FCI,Richmond Exec/Chesterfield County,49
JGG,Williamsburg/Jamestown,49
VJI,Virginia Highlands,34
OKV,Winchester Regional,28
FYJ,Middle Peninsula Regional,26
AVC,Mecklenburg-Brunswick Regional,20
RMN,Stafford Regional,19
PVG,Hampton Roads Exec,18
DAN,Danville Regional,16
NTU,Oceana NAS (Apollo Soucek Field),16
OMH,Orange County,14
BCB,Virginia Tech/Montgomery Exec,13
CJR,Culpeper Regional,13
W75,Hummel Field,12
MFV,Accomack County,11
MTV,Blue Ridge,11
OFP,Hanover County Municipal,11
LKU,Louisa County/Freeman Field,9
W94,Camp Peary Landing Strip,9
PTB,Tri Cities Exec/Dinwiddie County,7
FRR,Front Royal-Warren County,6
FVX,Farmville Regional,4
PSK,New River Valley,4
HWY,Warrenton/Fauquier,3
CPK,Chesapeake Regional,2
HSP,Ingalls Field,2
STT,Cyril E King,"705,196"
STX,Henry E Rohlsen,"235,392"
VI22,Charlotte Amalie Harbor,"19,339"
VI32,Christiansted Harbor-SSB,"19,339"
BTV,Patrick Leahy Burlington International,"649,557"
RUT,Rutland/Southern Vermont Regional,"5,228"
MVL,Morrisville-Stowe State,47
MPV,Edward F Knapp State,34
DDH,William H Morse State,32
VSF,Hartness State (Springfield),10
EFK,Northeast Kingdom International,9
6B0,Middlebury State,5
SEA,Seattle-Tacoma International,"24,594,210"
GEG,Spokane International,"2,002,286"
PSC,Tri-Cities,"438,076"
BLI,Bellingham International,"311,234"
PAE,Seattle Paine Field International,"306,499"
PUW,Pullman/Moscow Regional,"63,835"
EAT,Pangborn Memorial,"27,655"
BFI,Boeing Field/King County International,"27,446"
ALW,Walla Walla Regional,"26,465"
YKM,Yakima Air Trml/McAllister Field,"24,044"
FHR,Friday Harbor,"12,709"
S60,Kenmore Air Harbor,"8,766"
