Adams,CO,32332614000,3.4
Columbia,AR,1052780000,1.56
Wrangell-Petersburg Census Area,AK,-1,-2.72
Ashtabula,OH,3301448000,0.53
Hunt,TX,5173197000,4.02
Fulton,IL,859833000,0.12
Penobscot,ME,7231746000,0.72
Fulton,IN,716930000,0.9
Henrico,VA,29493660000,2.0
Sedgwick,CO,90667000,-0.1
Orange,NY,20713168000,1.77
Mesa,CO,7367394000,2.0
Rusk,WI,514171000,0.8
Caldwell,KY,419651000,0.77
Val Verde,TX,1902952000,1.11
Wasatch,UT,1411532000,4.91
Rockingham,NH,25975284000,2.54
Caldwell,LA,187609000,-0.53
Allegan,MI,5103112000,1.34
Rockingham,NC,2826221000,-0.72
Jasper,MO,5489065000,0.6
Cameron,TX,12543033000,1.9
Macon,NC,1779085000,2.83
Madison,AR,434964000,2.44
Berrien,MI,7361870000,0.4
Macon,MO,613023000,1.34
Jasper,MS,470877000,1.62
Nobles,MN,1284714000,1.73
Orange,NC,10198377000,2.15
Dubuque,IA,7014874000,2.64
Pendleton,WV,154947000,-1.73
Henry,IN,1536053000,1.03
Jasper,TX,1047339000,0.14
Henry,IL,1560040000,0.99
San Juan,UT,554674000,1.49
Crane,TX,953582000,1.16
Henry,IA,899720000,0.63
Lipscomb,TX,516972000,3.2
Grant,IN,2526146000,0.6
Kingsbury,SD,306528000,1.72
Fairbanks North Star Borough,AK,5595570000,-0.44
Winnebago,IA,481408000,1.4
Roanoke (Independent City),VA,7806615000,0.44
Pembina,ND,488956000,0.53
Grainger,TN,515460000,2.34
Winnebago,IL,14026051000,0.39
Dixie,FL,307380000,1.44
Berrien,GA,451070000,0.3
Rusk,TX,2415681000,-0.07
Sitka City and Borough,AK,545349000,0.88
Kosciusko,IN,6390847000,2.1
Marshall,TN,1341536000,1.72
Banner,NE,39459000,4.14
Chilton,AL,1215493000,2.4
Jasper,SC,1629861000,6.1
Henry,GA,8316003000,3.49
Madison,OH,2168679000,2.86
Jones,TX,486136000,-0.33
Sangamon,IL,11807838000,0.51
Richmond,NY,17638277000,1.27
Woodford,KY,1154397000,0.49
Pickens,AL,414576000,0.55
Menominee,WI,172461000,0.56
Hardin,IA,933199000,0.68
San Juan,WA,958138000,2.01
Jones,SD,49429000,0.61
Washtenaw,MI,27760301000,1.39
Hardin,IL,100553000,-0.35
Silver Bow,MT,1645474000,1.52
Vermont,$ thousands,35236566000,1.3
Madison,NY,2430639000,0.74
Cameron,PA,222691000,0.22
Richmond,NC,1905624000,1.1
Prince of Wales-Outer Ketchikan Census Area,AK,-1,0.69
Woods,OK,634651000,6.15
Madison,NC,442034000,0.31
Madison,NE,2455983000,1.55
Marshall,SD,299096000,3.81
Madison,MO,280456000,1.16
Coffey,KS,717940000,0.51
Teton,MT,293022000,2.89
Woodford,IL,1248514000,1.24
Henry,MO,795071000,0.24
Madison,MS,7803969000,4.55
Orange,TX,4084085000,1.29
Fremont,CO,1557426000,0.64
Kenai Peninsula Borough,AK,2679059000,0.28
