PASH,SMALL,Shishmaref Airport,66.249604,-166.089112,North America,United States,Alaska,Shishmaref,5000,3477
PASI,MEDIUM,Sitka Rocky Gutierrez Airport,57.04710006713867,-135.3619995,North America,United States,Alaska,Sitka,7200,96214
PASN,MEDIUM,St Paul Island Airport,57.166311,-170.222555,North America,United States,Alaska,St Paul Island,6500,1775
PASA,MEDIUM,Savoonga Airport,63.686401,-170.492996,North America,United States,Alaska,Savoonga,4400,3310
PASV,MEDIUM,Sparrevohn LRRS Airport,61.09740067,-155.5740051,North America,United States,Alaska,Sparrevohn,4100,0
PAWD,MEDIUM,Seward Airport,60.130478,-149.418612,North America,United States,Alaska,Seward,4240,6
PASX,MEDIUM,Soldotna Airport,60.474935,-151.038471,North America,United States,Alaska,Soldotna,5000,2
PASY,MEDIUM,Eareckson Air Station,52.71229935,174.1139984,North America,United States,Alaska,Shemya,10000,0
PATG,SMALL,Togiak Airport,59.052799,-160.397003,North America,United States,Alaska,Togiak Village,4400,2997
PAUN,MEDIUM,Unalakleet Airport,63.888401,-160.798996,North America,United States,Alaska,Unalakleet,5900,8312
PAIM,MEDIUM,Indian Mountain LRRS Airport,65.992798,-153.703995,North America,United States,Alaska,Utopia Creek,4100,2
PAVD,MEDIUM,Valdez Pioneer Field,61.132712,-146.246567,North America,United States,Alaska,Valdez,6508,4235
PAWG,MEDIUM,Wrangell Airport,56.48429871,-132.3699951,North America,United States,Alaska,Wrangell,5999,14323
PACL,MEDIUM,Clear Airport,64.299738,-149.117432,North America,United States,Alaska,Clear,4000,0
Z91,SMALL,Birch Creek Airport,66.27400208,-145.8240051,North America,United States,Alaska,Birch Creek,4000,284
K02A,SMALL,Chilton County Airport / Gragg-Wade Field,32.850498,-86.611397,North America,United States,Alabama,Clanton,4008,0
K04A,SMALL,Frank Sikes Airport,31.7363,-86.262497,North America,United States,Alabama,Luverne,4640,0
K06A,SMALL,Moton Field Municipal Airport,32.460499,-85.680002,North America,United States,Alabama,Tuskegee,5003,0
K09A,SMALL,Butler-Choctaw County Airport,32.119301,-88.127502,North America,United States,Alabama,Butler,4080,6
K0A8,SMALL,Bibb County Airport,32.93691,-87.090533,North America,United States,Alabama,Centreville,4206,4
K0R1,SMALL,Atmore Municipal Airport,31.016199,-87.4468,North America,United States,Alabama,Atmore,4952,0
K11A,SMALL,Clayton Municipal Airport,31.883301,-85.484901,North America,United States,Alabama,Clayton,5010,0
K12J,SMALL,Brewton Municipal Airport,31.0506,-87.065598,North America,United States,Alabama,Brewton,5001,0
K1A9,SMALL,Prattville - Grouby Field,32.438702,-86.512703,North America,United States,Alabama,Prattville,5400,0
K1M4,SMALL,Posey Field,34.2803,-87.600403,North America,United States,Alabama,Haleyville,5008,0
K1R8,SMALL,Bay Minette Municipal Airport,30.870321,-87.819298,North America,United States,Alabama,Bay Minette,5500,0
K20A,SMALL,Robbins Field,33.971183,-86.380518,North America,United States,Alabama,Oneonta,4210,0
K3M8,SMALL,North Pickens Airport,33.386799,-88.006599,North America,United States,Alabama,Reform,5144,0
K4A6,SMALL,Scottsboro Municipal Word Field,34.688702,-86.005898,North America,United States,Alabama,Scottsboro,5250,0
K4A9,SMALL,Isbell Field,34.473701,-85.721397,North America,United States,Alabama,Fort Payne,5001,0
K4R3,SMALL,Jackson Municipal Airport,31.470532,-87.895911,North America,United States,Alabama,Jackson,5003,6
K5R1,SMALL,Roy Wilcox Airport,31.451799,-88.194504,North America,United States,Alabama,Chatom,4000,0
K61A,SMALL,Camden Municipal Airport,31.9797,-87.339104,North America,United States,Alabama,Camden,4303,0
K71J,SMALL,Ozark-Blackwell Field,31.431812,-85.620568,North America,United States,Alabama,Ozark,4200,0
K79J,MEDIUM,South Alabama Regional At Bill Benton Field Airport,31.3088,-86.393799,North America,United States,Alabama,Andalusia,5001,0
K7A6,SMALL,Stevenson Airport,34.886299,-85.803299,North America,United States,Alabama,Stevenson,4103,0
K9A4,SMALL,Courtland Airport,34.659028,-87.350206,North America,United States,Alabama,Courtland,5000,0
